name	Handedness	Height	Weight	Batting Average	HR
Gary Ward	R	74	195	0.28	130
Jim Lonborg	R	77	200	0.14	3
Joe Lis	R	72	175	0.23	32
Dan Meyer	L	71	180	0.25	86
Jim Holt	L	72	180	0.27	19
Tom Klawitter	R	74	190	0	0
Larry Herndon	R	75	190	0.27	107
Gary Christenson	L	77	200	0	0
Jim Wright	R	77	205	0	0
Jim Wright	R	73	165	0	0
Wallace Johnson	B	72	173	0.26	5
Mike Kinnunen	L	73	185	0	0
Eddie Leon	R	72	170	0.24	24
Dave Rajsich	L	77	175	0	0
Jim Wohlford	R	71	175	0.26	21
J.R. Richard	R	80	222	0.17	10
Bill Voss	L	74	160	0.23	19
Keith Moreland	R	72	190	0.28	121
Ramon Pena	R	70	155	0	0
Alex Johnson	R	72	205	0.29	78
Wayne Krenchicki	L	73	180	0.27	15
Chico Escarrega	R	71	185	0	0
Dave Rosello	R	71	160	0.24	10
Cardell Camper	R	75	208	0	0
Paul Schaal	R	71	165	0.24	57
Tito Landrum	R	71	175	0.25	13
Dave Edwards	R	72	170	0.24	14
Mario Guerrero	R	70	155	0.26	7
Tom Tresh	B	73	180	0.25	153
Mike Overy	R	74	190	0	0
Ron Roenicke	B	72	180	0.24	17
Doug Griffin	R	72	160	0.25	7
Steve Blass	R	72	165	0.17	1
Johnnie LeMaster	R	74	165	0.22	22
Craig Chamberlain	R	73	190	0	0
Nate Oliver	R	70	160	0.23	2
Ray Sadecki	L	71	180	0.19	5
Ken Rudolph	R	73	180	0.21	6
Wayne Nordhagen	R	74	205	0.28	39
Biff Pocoroba	B	70	175	0.26	21
Len Matuszek	L	74	190	0.23	30
Frank Eufemia	R	71	185	0	0
Joe Lefebvre	L	70	170	0.26	31
Jim Maloney	L	74	190	0.2	7
Andre Robertson	R	70	155	0.25	5
Jerry Zimmerman	R	74	185	0.2	3
Jack Lazorko	R	71	200	0	0
Mike Paxton	R	71	190	0	0
Chet Lemon	R	72	190	0.27	215
Rickey Keeton	R	74	190	0	0
Phil Mankowski	L	72	180	0.26	8
Cleon Jones	R	72	185	0.28	93
Joaquin Andujar	B	72	170	0.13	5
Mike Lum	L	72	180	0.25	90
Johnny Grubb	L	75	175	0.28	99
Curt Motton	R	68	164	0.21	25
Johnny Bench	R	73	197	0.27	389
Dale Berra	R	72	180	0.24	49
Terry Felton	R	73	180	0	0
Bob Meacham	B	73	175	0.24	8
Mark Clear	R	76	200	0	0
Carl Warwick	R	70	170	0.25	31
Sam Bowens	R	73	188	0.22	45
George Wright	B	71	180	0.25	42
Luis Aguayo	R	69	173	0.24	37
Hal Lanier	R	74	180	0.23	8
Mike Pazik	L	74	195	0	0
Len Randle	B	70	169	0.26	27
Greg Pryor	R	72	180	0.25	14
Jim Traber	L	72	194	0.23	27
Dave Nelson	R	70	160	0.24	20
Lynn Jones	R	69	175	0.25	7
Bryan Little	B	70	160	0.25	3
Ken Suarez	R	69	175	0.23	5
Rick Peters	B	69	170	0.28	2
Ron Stone	L	74	185	0.24	6
Rich Barnes	R	76	186	0	0
Tommie Agee	R	71	195	0.26	130
Bob Bailey	R	73	180	0.26	189
Cap Peterson	R	74	195	0.23	19
Ted Uhlaender	L	74	190	0.26	36
Ted Simmons	B	71	193	0.29	248
Bobby Murcer	L	71	160	0.28	252
Dick Tracewski	R	71	160	0.21	8
Dave Frost	R	78	235	0	0
Mark Souza	L	72	180	0	0
Bill Nahorodny	R	74	200	0.24	25
Bill Madlock	R	71	180	0.31	163
Bob Boone	R	74	195	0.25	105
Rick Jones	L	77	190	0	0
Steve Kemp	L	72	195	0.28	130
Rick Burleson	R	70	165	0.27	50
Jim Dorsey	R	79	190	0	0
Mark Ciardi	R	72	180	0	0
Dennis Burtt	R	72	180	0	0
Carl Taylor	R	74	200	0.27	10
Terry Harmon	R	74	180	0.23	4
Mike Hargrove	L	72	195	0.29	80
Rich Yett	R	74	187	0	0
Steve Hovley	L	70	188	0.26	8
Don Leppert	R	74	220	0.23	15
Matt Williams	R	73	200	0	0
Jim Burton	R	75	195	0	0
Rick Anderson	R	74	210	0	0
Charlie Mitchell	R	75	170	0	0
Bill Paschall	R	72	175	0	0
John Bohnet	B	72	175	0	0
Byron McLaughlin	R	73	175	0	0
Lee May	R	75	195	0.27	354
Luis Quintana	L	74	175	0	0
Sam McDowell	L	77	190	0.15	2
Rick Renick	R	72	188	0.22	20
Jeff Torborg	R	72	195	0.21	8
Dave Campbell	R	73	180	0.21	20
Pat Kelly	L	73	185	0.26	76
Al Weis	B	72	160	0.22	7
Jerry Turner	L	69	180	0.26	45
Rick Auerbach	R	72	165	0.22	9
Keith Macwhorter	R	76	190	0	0
Don Wilson	R	74	195	0.15	1
Jaime Cocanower	R	76	200	0	0
Jeff Sellers	R	73	175	0	0
Sandy Valdespino	L	68	170	0.23	7
Steve Senteney	R	74	205	0	0
Howard Bailey	R	72	195	0	0
Jeff Bettendorf	R	75	180	0	0
Ken Phelps	L	73	209	0.24	123
Cesar Cedeno	R	74	175	0.29	199
Bob Davidson	R	72	185	0	0
Phil Linz	R	73	180	0.24	11
Manny Mota	R	70	160	0.3	31
Brian Snyder	L	75	185	0	0
Steve Renko	R	77	230	0.22	6
Rick Sofield	L	73	195	0.24	9
Carlos Velazquez	R	71	180	0	0
Roger Miller	R	75	200	0	0
Doug DeCinces	R	74	190	0.26	237
John Castino	R	71	175	0.28	41
Dave May	L	70	186	0.25	96
Ron Washington	R	71	155	0.26	20
Billy Grabarkewitz	R	70	165	0.24	28
Willie Aikens	L	75	220	0.27	110
Earl Williams	R	75	215	0.25	138
Willie Mueller	R	76	220	0	0
John Flinn	R	72	175	0	0
Don Hahn	R	73	180	0.24	7
Todd Cruz	R	72	175	0.22	34
Tom Egan	R	76	218	0.2	22
Bob Heise	R	72	175	0.25	1
Tommy Harper	R	69	165	0.26	146
Joe Wallis	B	71	180	0.24	16
Max Alvis	R	71	185	0.25	111
Rico Carty	R	75	200	0.3	204
Mike Cubbage	L	72	180	0.26	34
Les Straker	R	73	193	0	0
Merritt Ranew	L	71	170	0.25	8
Lyman Bostock	L	73	180	0.31	23
Damaso Garcia	R	73	165	0.28	36
Don Kainer	R	75	205	0	0
Don Gordon	R	73	175	0	0
Roy Howell	L	73	190	0.26	80
Boog Powell	L	76	230	0.27	339
Sandy Wihtol	R	73	195	0	0
Sonny Siebert	R	75	190	0.17	12
Jeff Richardson	R	75	185	0	0
Bobby Darwin	R	74	190	0.25	83
Dennis DeBarr	L	74	190	0	0
Dan Driessen	L	71	187	0.27	153
Bruce Miller	R	73	185	0.25	1
Bob Bailor	R	71	170	0.26	9
Tommy Helms	R	70	165	0.27	34
Tony Armas	R	71	182	0.25	251
Willie Horton	R	71	209	0.27	325
Lou Piniella	R	72	182	0.29	102
Butch Hobson	R	73	193	0.25	98
John Wathan	R	74	205	0.26	21
Hal King	L	73	200	0.21	24
Mike Krukow	R	77	205	0.19	5
Andres Mora	R	72	180	0.22	27
Barry Foote	R	75	205	0.23	57
Ed Ott	L	70	190	0.26	33
Alan Wiggins	B	74	160	0.26	5
Ron Clark	R	70	175	0.19	5
Jay Pettibone	R	76	182	0	0
Glen Cook	R	71	180	0	0
Julio Gotay	R	72	180	0.26	6
Gary Alexander	R	74	195	0.23	55
Andre Thornton	R	75	200	0.25	253
Bob Oliver	R	75	205	0.26	94
Bill Castro	R	71	170	0	0
Ed Hodge	L	74	192	0	0
Tom Buskey	R	75	200	0	0
Bruce Taylor	R	72	178	0	0
Stan Thomas	R	74	185	0	0
Bob Robertson	R	73	195	0.24	115
Larry Monroe	R	76	200	0	0
Roger Slagle	R	75	190	0	0
Ollie Brown	R	74	178	0.27	102
Jim Campbell	L	71	175	0	0
Frank Quilici	R	73	170	0.21	5
Curt Kaufman	R	74	175	0	0
Joe Pepitone	L	74	185	0.26	219
Steve Barber	L	72	195	0.12	5
De Wayne Vaughn	R	71	180	0	0
Norm Miller	L	70	185	0.24	24
Bob Galasso	L	73	205	0	0
Rich Wortham	R	72	185	0	0
Bob Chance	L	74	196	0.26	24
Julio Cruz	B	69	165	0.24	23
Bill Sample	R	69	175	0.27	46
Juan Nieves	L	75	175	0	0
Mike Bacsik	R	74	180	0	0
Craig Kusick	R	75	210	0.24	46
Rudy Meoli	L	69	165	0.21	2
Ruppert Jones	L	70	170	0.25	147
Glenn Hoffman	R	73	175	0.24	23
Russ Gibson	R	73	195	0.23	8
Phil Huffman	R	74	180	0	0
Terry Francona	L	73	190	0.27	16
John Bateman	R	75	210	0.23	81
Luis Pujols	R	74	175	0.19	6
Joe Gaines	R	73	190	0.24	21
Doug Rader	R	74	208	0.25	155
Mickey Stanley	R	73	185	0.25	117
Steve Brown	R	77	200	0	0
Rick Lysander	R	74	190	0	0
Phil Bradley	R	72	185	0.29	78
Winston Llenas	R	70	165	0.23	3
Charlie Moore	R	71	180	0.26	36
Ralph Garr	L	71	185	0.31	75
Tommy John	R	75	180	0.16	5
Bruce Benedict	R	73	175	0.24	18
John Ellis	R	74	225	0.26	69
Wes Parker	B	73	180	0.27	64
Mel Stottlemyre	R	72	190	0	0
David Green	R	75	170	0.27	31
Reid Nichols	R	71	165	0.27	22
Rick Reichardt	R	75	210	0.26	116
Luis Tiant	R	72	180	0.16	5
Alex Sanchez	R	74	185	0	0
Broderick Perkins	L	70	180	0.27	8
Leon Roberts	R	75	200	0.27	78
Ray Burris	R	77	200	0.15	1
Len Gabrielson	L	76	210	0.25	37
Johnny Edwards	L	76	220	0.24	81
Paul Wilmet	R	71	170	0	0
Tom Grieve	R	74	190	0.25	65
Bruce Ellingsen	L	72	180	0	0
Bob Forsch	R	76	200	0.21	12
Gorman Heimueller	L	76	195	0	0
Danny Cater	R	72	170	0.28	66
Bill Schroeder	R	74	200	0.24	61
Clay Dalrymple	L	72	190	0.23	55
Carlos May	L	71	200	0.27	90
Reggie Smith	B	72	180	0.29	314
Ron Reed	R	78	215	0.16	0
Fred Howard	R	75	190	0	0
Davey Johnson	R	73	170	0.26	136
Ellis Valentine	R	76	205	0.28	123
Roy White	B	70	160	0.27	160
Mike Brumley	L	70	195	0.23	5
Al Luplow	L	70	175	0.24	33
John Hoover	R	74	190	0	0
Dick Allen	R	71	187	0.29	351
Doug Ault	R	75	200	0.24	17
Mark Wagner	R	72	165	0.24	3
Mike Walters	R	77	203	0	0
Willie Stargell	L	74	188	0.28	475
Steve Carlton	L	76	210	0.2	13
Jake Wood	R	73	163	0.25	35
Del Unser	L	73	180	0.26	87
Bob Brower	R	71	185	0.24	17
Ray Culp	R	72	200	0.12	1
Ivan Murrell	R	74	195	0.24	33
Lee Mazzilli	B	73	180	0.26	93
Garth Iorg	R	71	170	0.26	20
Alan Ashby	B	74	185	0.25	90
Bob Brenly	R	74	210	0.25	91
Ron Blomberg	L	73	195	0.29	52
Jim Rooker	R	72	195	0.2	7
Tim Blackwell	B	71	170	0.23	6
Colby Ward	R	74	185	0	0
Jerry Morales	R	70	155	0.26	95
Davey Lopes	R	69	170	0.26	155
Catfish Hunter	R	72	190	0.23	6
Mario Soto	R	72	174	0.13	1
Jimmy Wynn	R	70	160	0.25	291
Hank Allen	R	72	190	0.24	6
Jim Fregosi	R	73	190	0.27	151
Pepe Frias	R	70	159	0.24	1
Mike Schmidt	R	74	195	0.27	548
Willie Montanez	L	72	170	0.28	139
Rey Quinones	R	71	160	0.24	29
Mike Squires	L	71	185	0.26	6
Champ Summers	L	74	205	0.26	54
Chuck Porter	R	75	187	0	0
Bert Campaneris	R	70	160	0.26	79
Bobby Valentine	R	70	189	0.26	12
Rob Andrews	R	72	185	0.25	3
Tom Haller	L	76	195	0.26	134
Tom Dozier	R	74	190	0	0
Ed Stroud	L	71	180	0.24	14
Ron Swoboda	R	74	195	0.24	73
Harry Spilman	L	73	180	0.24	18
Bob Barton	R	72	175	0.23	9
Daryl Sconiers	L	74	185	0.27	15
Joe Torre	R	74	212	0.3	252
Al Ferrara	R	73	200	0.26	51
Rick Steirer	R	76	200	0	0
Sixto Lezcano	R	70	165	0.27	148
Al Lachowicz	R	75	198	0	0
Dave Nicholson	R	74	215	0.21	61
Freddie Patek	R	65	148	0.24	41
Ken Hubbs	R	74	175	0.25	14
Pepe Mangual	R	70	157	0.24	16
Leron Lee	L	72	196	0.25	31
Tom McCarthy	R	72	180	0	0
Steve Ontiveros	B	72	185	0.27	24
Willie Davis	L	74	180	0.28	182
Tom Lawless	R	71	170	0.21	2
Jerry Moses	R	75	210	0.25	25
Bobby Bonds	R	73	190	0.27	332
Dave McNally	R	71	185	0.13	9
Darrell Brown	B	72	184	0.27	1
Roy Foster	R	72	185	0.25	45
Denis Menke	R	72	185	0.25	101
Hal Breeden	R	74	200	0.24	21
Manny Trillo	R	73	150	0.26	61
Jackie Gutierrez	R	71	175	0.24	4
Jerry Kenney	L	73	170	0.24	7
Fred Kendall	R	73	185	0.23	31
Mike Anderson	R	74	200	0.25	28
Jim Lewis	R	75	190	0	0
Joe Charboneau	R	74	205	0.27	29
Jimmie Schaffer	R	69	170	0.22	11
Junior Kennedy	R	71	175	0.25	4
Wilbur Howard	B	74	170	0.25	6
Rod Gilbreath	R	74	180	0.25	14
Mark Brouhard	R	73	210	0.26	25
Dan Morogiello	L	73	200	0	0
Mike Young	B	74	195	0.25	72
Chris Speier	R	73	175	0.25	112
Gene Michael	B	74	183	0.23	15
Vic Harris	B	71	165	0.22	13
Mike Fischlin	R	73	165	0.22	3
Don Money	R	73	170	0.26	176
Joe Rudi	R	74	200	0.26	179
Jim Rice	R	74	200	0.3	382
Shawn Holman	R	74	185	0	0
Alan Wirth	R	76	190	0	0
Gil Garrido	R	69	150	0.24	1
Marty Perez	R	71	160	0.25	22
Tom Matchick	L	73	173	0.22	4
Jack Perconte	L	70	160	0.27	2
Ed Kirkpatrick	L	71	195	0.24	85
Jerry Grote	R	70	185	0.25	39
Ellie Hendricks	L	73	175	0.22	62
Jim Beauchamp	R	74	190	0.23	14
Terry Wilshusen	R	74	210	0	0
Tito Fuentes	B	71	175	0.27	45
Ron Brand	R	67	167	0.24	3
Leo Cardenas	R	71	150	0.26	118
Art Shamsky	L	73	168	0.25	68
Steve Ellsworth	R	80	220	0	0
Ron Cey	R	70	185	0.26	316
Skip Jutze	R	71	190	0.22	3
Butch Wynegar	B	73	190	0.26	65
Ron LeFlore	R	72	200	0.29	59
Bill Russell	R	72	175	0.26	46
Gene Tenace	R	72	190	0.24	201
Bubba Morton	R	70	175	0.27	14
Ellie Rodriguez	R	71	185	0.25	16
Darrel Chaney	B	74	188	0.22	14
Dick Nen	L	74	200	0.22	21
Bryan Kelly	R	74	195	0	0
Bill Freehan	R	75	203	0.26	200
Steve Nicosia	R	70	185	0.25	11
Ted Savage	R	73	185	0.23	34
Pete Mackanin	R	74	190	0.23	30
Rich Dauer	R	72	180	0.26	43
Mick Kelleher	R	69	176	0.21	0
Rowland Office	L	72	170	0.26	32
Rick Leach	L	73	180	0.27	18
Dwayne Murphy	L	73	185	0.25	166
Larry Harlow	L	74	185	0.25	12
Mike Epstein	L	75	230	0.24	130
Jerry Mumphrey	B	74	185	0.29	70
Don Sutton	R	73	185	0.14	0
Glenn Beckert	R	73	190	0.28	22
Ron Davis	R	72	175	0.23	10
Mike Shannon	R	75	195	0.26	68
Jason Thompson	L	76	200	0.26	208
Wayne Tolleson	B	69	160	0.24	9
John Leister	R	74	200	0	0
Don Cooper	R	73	185	0	0
Mike Jorgensen	L	72	195	0.24	95
Ed Romero	R	71	160	0.25	8
Rick Joseph	R	73	192	0.24	13
Cecil Cooper	L	74	165	0.3	241
Bill Almon	R	75	180	0.25	36
Joe Ferguson	R	74	200	0.24	122
Jeff Jones	R	75	210	0	0
Jerry Terrell	R	71	165	0.25	4
John Poloni	L	77	210	0	0
Dave Revering	L	76	210	0.27	62
Curt Ford	L	70	150	0.25	7
Jerry Dybzinski	R	74	180	0.23	3
Mike Willis	L	74	205	0	0
Bob Burda	L	71	174	0.22	13
Jesse Gonder	L	70	180	0.25	26
Gary Sutherland	R	72	185	0.24	24
Bob Coluccio	R	71	183	0.22	26
Dave Rader	L	71	165	0.26	30
Ron Gardenhire	R	72	175	0.23	4
Bill Sharp	L	70	178	0.26	9
Alan Bannister	R	71	170	0.27	19
Bob Watson	R	72	201	0.3	184
Ken Harrelson	R	74	190	0.24	131
Bobby Wine	R	73	187	0.22	30
Stefan Wever	R	80	245	0	0
John Kennedy	R	72	185	0.23	32
Chico Ruiz	B	72	169	0.24	2
Dave Johnson	R	73	183	0	0
Gail Hopkins	L	70	198	0.27	25
Doug Frobel	L	76	196	0.2	20
Luis Melendez	R	72	165	0.25	9
Jerry Augustine	L	72	183	0	0
Bill Plummer	R	73	190	0.19	14
Buck Rodgers	B	74	190	0.23	31
Phil Niekro	R	73	180	0.17	7
Jeff Holly	L	77	210	0	0
Tom Poquette	L	70	175	0.27	10
Eric Hetzel	R	75	175	0	0
Brian Asselstine	L	73	175	0.25	12
Rick Miller	L	72	175	0.27	28
Ed Charles	R	70	170	0.26	86
Luis Gomez	R	69	150	0.21	0
Dave Lemanczyk	R	76	235	0	0
Al Jones	R	76	210	0	0
Floyd Rayford	R	70	190	0.24	38
Sam Hinds	R	78	215	0	0
Tony Conigliaro	R	75	185	0.26	166
Clay Christiansen	R	77	205	0	0
Jim Barr	R	75	205	0.16	1
Jerry Remy	L	69	165	0.28	7
Larry Rothschild	L	74	180	0	0
Frank Duffy	R	73	180	0.23	26
Gary Lance	B	75	195	0	0
Tom O'Malley	L	72	180	0.26	13
Phil Garner	R	70	175	0.26	109
Larry Pashnick	R	75	205	0	0
Todd Fischer	R	70	170	0	0
