name	Handedness	Height	Weight	Batting Average	HR
Marc Hill	R	75	205	0.22	34
Joel McKeon	L	72	185	0	0
Danny Fife	R	75	175	0	0
Chico Salmon	R	70	160	0.25	31
Joe Niekro	R	73	185	0.16	1
Andy Etchebarren	R	73	190	0.24	49
Ken Berry	R	72	175	0.26	58
Dave Concepcion	R	74	155	0.27	101
Junior Moore	R	71	185	0.26	7
Mike Richardt	R	72	170	0.23	4
Chris Brown	R	72	185	0.27	38
Al Bumbry	L	68	170	0.28	54
Al Downing	R	71	175	0.13	2
Bob Didier	B	72	190	0.23	0
Jake Gibbs	L	72	180	0.23	25
Garry Hancock	L	72	175	0.25	12
Ed Kranepool	L	75	205	0.26	118
Rick Rhoden	R	75	195	0.24	9
Denny McLain	R	73	185	0.13	1
Chuck Hiller	L	71	170	0.24	20
Jorge Orta	L	70	170	0.28	130
Dave Cash	R	71	170	0.28	21
Bucky Dent	R	69	170	0.25	40
Andy Beene	R	75	205	0	0
Bruce Robbins	L	73	190	0	0
Tony Gonzalez	L	69	170	0.29	103
Leon Hooten	R	71	180	0	0
Larry Haney	R	74	195	0.22	12
Billy Conigliaro	R	72	180	0.26	40
Gary Roenicke	R	75	205	0.25	121
Don Lock	R	74	195	0.24	122
Billy Cowan	R	72	170	0.24	40
Billy Smith	B	74	185	0.23	17
Allan Ramirez	R	70	180	0	0
Tony Perez	R	74	175	0.28	379
Chuck Schilling	R	70	160	0.24	23
Hal McRae	R	71	180	0.29	191
Dave Roberts	R	75	215	0.24	49
Brian Allard	R	73	175	0	0
Jim Lefebvre	B	72	180	0.25	74
Fernando Arroyo	R	74	180	0	0
Gary Beare	R	76	205	0	0
Charlie Spikes	R	75	215	0.25	65
Brian Dubois	L	70	165	0	0
Steve Whitaker	L	72	180	0.23	24
Manny Jimenez	L	73	185	0.27	26
Chris Batton	R	76	195	0	0
Duffy Dyer	R	72	187	0.22	30
Ken Henderson	B	74	180	0.26	122
Vance Lovelace	L	77	205	0	0
Greg Thayer	R	71	182	0	0
Vern Fuller	R	73	170	0.23	14
Paul Hartzell	R	77	200	0	0
Wayne Gross	L	74	210	0.23	121
Mike Champion	R	72	185	0.23	2
Ralph Botting	L	72	195	0	0
Paul Casanova	R	76	180	0.23	50
Steve Rogers	R	74	175	0.14	0
Keith Creel	R	74	180	0	0
Terry Crowley	L	72	180	0.25	42
Horace Clarke	B	69	170	0.26	27
Lou Clinton	R	73	185	0.25	65
Larry Cox	R	70	178	0.22	12
Nate Colbert	R	74	190	0.24	173
Phil Roof	R	74	190	0.22	43
Chuck Hinton	R	73	180	0.26	113
Tim Cullen	R	73	185	0.22	9
Tim Harkness	L	74	182	0.24	14
Rick Bosetti	R	71	185	0.25	17
Ron Pruitt	R	72	185	0.27	12
George Foster	R	73	180	0.27	348
Jerry White	B	70	164	0.25	21
Angel Mangual	R	70	178	0.25	22
Ken Gerhart	R	72	190	0.22	24
Mike Hershberger	R	70	175	0.25	26
Jim French	L	68	180	0.2	5
Dave Roberts	L	75	195	0.19	7
Jim Mason	L	74	185	0.2	12
Mike Smith	R	75	180	0	0
Willie Smith	L	72	182	0.25	46
T.R. Bryden	R	76	190	0	0
Jose Arcia	R	75	170	0.22	1
Leon Durham	L	73	185	0.28	147
Tom Makowski	R	71	185	0	0
Paul Householder	B	72	180	0.24	29
Aurelio Rodriguez	R	70	180	0.24	124
Jimmy Stewart	B	72	165	0.24	8
Dick Phillips	L	72	180	0.23	12
Andres Thomas	R	73	170	0.23	42
Ed Crosby	L	74	175	0.22	0
Mike de la Hoz	R	71	175	0.25	25
Frank Taveras	R	72	155	0.26	2
Joe Nossek	R	72	178	0.23	3
Larry Stahl	L	72	175	0.23	36
Jose Cruz	L	72	170	0.28	165
Don Mason	L	71	160	0.21	3
Bill Robinson	R	74	189	0.26	166
Jim Umbarger	L	78	200	0	0
Sal Bando	R	72	195	0.25	242
George Mitterwald	R	74	195	0.24	76
Mike Darr	R	76	190	0	0
Craig Robinson	R	70	165	0.22	0
Bob Tillman	R	76	205	0.23	79
Curt Wardle	L	77	220	0	0
Pat Corrales	R	72	180	0.22	4
Mike Tyson	R	69	170	0.24	27
Rafael Landestoy	B	70	165	0.24	4
Duane Josephson	R	72	190	0.26	23
Duane Walker	L	72	185	0.23	24
Glenn Hubbard	R	69	150	0.24	70
Roger Freed	R	72	190	0.25	22
George Hendrick	R	75	195	0.28	267
Rod Carew	L	72	170	0.33	92
Bob Davis	R	72	180	0.2	6
Toby Harrah	R	72	175	0.26	195
Rick Manning	L	73	180	0.26	56
Israel Sanchez	L	69	170	0	0
Steve Burke	B	74	200	0	0
Gary Matthews	R	74	185	0.28	234
Cesar Geronimo	L	72	165	0.26	51
Billy Bryan	L	76	200	0.22	41
Terry Taylor	R	73	180	0	0
Terry Whitfield	L	73	197	0.28	33
Mario Mendoza	R	71	170	0.22	4
Fred Lynn	L	73	185	0.28	306
Larry Hisle	R	74	193	0.27	166
Graig Nettles	L	72	180	0.25	390
Randy Nosek	R	76	215	0	0
Dave Engle	R	75	210	0.26	31
Narciso Elvira	L	70	160	0	0
Mike Easler	L	72	190	0.29	118
Mark Smith	R	74	215	0	0
Paul Mitchell	R	73	195	0	0
Rick Sweet	B	73	200	0.23	6
Thurman Munson	R	71	190	0.29	113
Rick Monday	L	75	193	0.26	241
Mike Sadek	R	69	165	0.23	5
Mark Belanger	R	73	170	0.23	20
Ron Hunt	R	72	186	0.27	39
Joe Keough	L	72	185	0.25	9
Butch Edge	R	75	203	0	0
Vic Correll	R	70	185	0.23	29
Jackie Hernandez	R	71	165	0.21	12
Tony Solaita	L	72	210	0.26	50
U L Washington	B	71	175	0.25	27
Gary Mielke	R	75	185	0	0
Rick Henninger	R	78	225	0	0
Joe Foy	R	72	215	0.25	58
Ed Goodson	L	75	180	0.26	30
Mark Brown	B	74	190	0	0
